name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Genoa,Italy",2022-01-01,14,12,13.2,14,12,13.2,11.4,88.8,0.009,100,4.17,rain,0,0,,9.3,106.4,1026.8,99.5,9.5,82.6,7,4,,2022-01-01T08:00:33,2022-01-01T16:55:15,0.95,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-01-02,14,12.9,13.4,14,12.9,13.4,10.5,82.9,0.39,100,4.17,rain,0,0,,20.4,154.8,1026.3,95.4,10,49,4.3,4,,2022-01-02T08:00:35,2022-01-02T16:56:10,0,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-01-03,13.9,12.7,13.3,13.9,12.7,13.3,12.2,93.2,0,0,0,,0,0,,23.9,118.9,1019.7,91.5,9.8,52.3,4.4,3,,2022-01-03T08:00:34,2022-01-03T16:57:07,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-04,13.9,12.8,13.8,13.9,12.8,13.8,12.8,94.1,2.848,100,8.33,rain,0,0,46.4,31.6,172.5,1011.5,92.1,7.3,34.3,2.9,2,,2022-01-04T08:00:31,2022-01-04T16:58:05,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-05,14.9,9.8,12.7,14.9,7.3,12.5,9.1,81.4,15.851,100,16.67,rain,0,0,51.8,36.8,137.2,1000.5,84.2,8.4,7.7,0.6,0,,2022-01-05T08:00:26,2022-01-05T16:59:05,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999"
"Genoa,Italy",2022-01-06,11.9,7.9,9.5,11.9,3.9,7.4,-2.1,45.7,0,0,0,,0,0,,31.7,34.6,1010.5,31.5,10,68.2,5.7,4,,2022-01-06T08:00:18,2022-01-06T17:00:07,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-01-07,8.7,4.7,6.5,6,-0.2,3.1,-1.3,57.5,0,0,0,,0,0,,29.5,39,1017.5,40.7,10,81.4,7,4,,2022-01-07T08:00:07,2022-01-07T17:01:11,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-08,11.7,4,7.5,11.7,1.6,5.9,-2,51.9,0,0,0,,0,0,,18.3,42.1,1013.2,24.7,10,86.3,7.5,4,,2022-01-08T07:59:54,2022-01-08T17:02:16,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999"
"Genoa,Italy",2022-01-09,11.9,3.9,7.7,11.9,-1.1,5.4,-0.6,58.2,0.39,100,4.17,rain,0,0,,27.5,46.5,1003.9,27.6,9.8,61,5.3,3,,2022-01-09T07:59:38,2022-01-09T17:03:22,0.25,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-01-10,10.6,4.7,7.4,10.6,-0.2,4.3,-3,48,0,0,0,,0,0,24.5,27.6,41.7,1010,9,10,85.3,7.2,6,10,2022-01-10T07:59:20,2022-01-10T17:04:30,0.25,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-11,13.6,6.9,9.2,13.6,3.5,7,-7.5,30.8,0,0,0,,0,0,26.3,24.3,40.8,1020.4,0,10,100.9,8.6,4,10,2022-01-11T07:58:59,2022-01-11T17:05:39,0.29,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-12,10.6,4.7,7.3,10.6,-0.3,3.6,-4.9,42.2,0,0,0,,0,0,30.6,37.1,40.6,1027.8,6.3,10,97.7,8.4,4,10,2022-01-12T07:58:36,2022-01-12T17:06:50,0.32,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-13,9.7,4.7,7.3,6.2,-0.7,2.9,-5.8,39.8,0,0,0,,0,0,51.8,38.7,35.9,1033.5,0,10,98.9,8.6,4,10,2022-01-13T07:58:10,2022-01-13T17:08:02,0.35,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-14,14.5,8,10.7,14.5,4.7,9.5,-2.8,44.8,0,0,0,,0,0,18,38.7,38.6,1030.7,0,10,104.7,9.1,4,10,2022-01-14T07:57:42,2022-01-14T17:09:15,0.38,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-15,14.7,5.8,9.6,14.7,5.1,9.3,6.2,79.4,0,0,0,,0,0,7.9,9.3,42.2,1025.2,28.4,10,104.3,9.1,4,10,2022-01-15T07:57:12,2022-01-15T17:10:29,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-16,13,9,11.1,13,7.2,10.7,6.9,75.7,0,0,0,rain,0,0,14.4,18.3,99.1,1024.8,73.5,10,96,8.2,4,10,2022-01-16T07:56:39,2022-01-16T17:11:44,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122"
"Genoa,Italy",2022-01-17,13.8,6.7,10,13.8,6.7,9.9,6,76.4,0,0,0,,0,0,7.9,7.6,8.9,1026.1,5.3,10,106.5,9.1,4,10,2022-01-17T07:56:03,2022-01-17T17:13:01,0.48,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-18,13.7,7.6,10.4,13.7,5.3,9.6,4.6,69.2,0,0,0,,0,0,17.3,29.4,45,1029.8,19.3,10,101.9,8.9,4,10,2022-01-18T07:55:26,2022-01-18T17:14:18,0.5,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-19,12.9,6.7,10.3,12.9,2.4,8.5,4.2,66.2,0,0,0,rain,0,0,15.1,29.3,76.8,1028.8,28.2,8.6,80.1,6.9,4,10,2022-01-19T07:54:46,2022-01-19T17:15:36,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-20,13.7,6.7,9.6,13.7,2.4,7.9,4.6,72.2,6.04,100,4.17,rain,0,0.2,16.6,29.4,38.5,1019.7,32.7,9.4,78.7,6.9,4,10,2022-01-20T07:54:03,2022-01-20T17:16:54,0.59,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-21,12.6,6.6,8.5,12.6,3.3,6.5,-2.9,46.5,0,0,0,,0,0,19.1,29.4,38,1020.9,0,10,102.9,8.9,4,10,2022-01-21T07:53:19,2022-01-21T17:18:14,0.62,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-22,11.8,5.5,8.4,11.8,1.9,6.8,-0.3,55.7,0,0,0,,0,0,14,24,51.8,1026.4,8,10,101.2,8.8,4,10,2022-01-22T07:52:32,2022-01-22T17:19:34,0.66,Clear,Clear conditions throughout the day.,clear-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-23,13,6,9.7,13,5.1,9.5,6.1,78.7,0,0,0,,0,0,5.4,12.9,96.7,1028.1,54.8,10,102.6,8.9,4,10,2022-01-23T07:51:43,2022-01-23T17:20:55,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-01-24,12.8,4.1,9.7,12.8,1.2,8.1,4.7,71.5,0,0,0,,0,0,15.8,25.9,44.3,1029.6,38.6,9.8,94.3,8.1,4,10,2022-01-24T07:50:52,2022-01-24T17:22:16,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-25,12,5,8.6,12,-0.1,6.3,2.9,67.6,0,0,0,,0,0,19.4,31.5,60.6,1031.7,53,9.3,53.9,4.6,2,10,2022-01-25T07:49:59,2022-01-25T17:23:38,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-26,12.9,10,11.9,12.9,9.1,11.9,6.6,70,0,0,0,,0,0,11.9,18.2,183.8,1028,81.4,10,46.9,4.1,2,10,2022-01-26T07:49:04,2022-01-26T17:25:01,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999"
"Genoa,Italy",2022-01-27,13,9.8,11.8,13,9.1,11.7,6.8,71.3,0,0,0,,0,0,16.6,16.6,169.5,1026.7,91.3,10,98.7,8.3,5,10,2022-01-27T07:48:07,2022-01-27T17:26:23,0.83,Overcast,Cloudy skies throughout the day.,cloudy,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999"
"Genoa,Italy",2022-01-28,15.9,9.8,13.1,15.9,9.4,13.1,4.1,61.5,0,0,0,,0,0,22.7,33,157.2,1025.2,44.6,10,113.7,9.6,5,10,2022-01-28T07:47:08,2022-01-28T17:27:47,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-29,13,7.6,11.5,13,7.6,11.4,3.1,59.4,0,0,0,,0,0,13,27.6,114.1,1028.4,39.5,10,113.2,9.7,5,10,2022-01-29T07:46:06,2022-01-29T17:29:10,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
"Genoa,Italy",2022-01-30,14,11,12.7,14,11,12.7,7.4,70.5,0,0,0,rain,0,0,15.1,16.6,189.5,1021.7,67.8,10,111.5,9.7,5,10,2022-01-30T07:45:03,2022-01-30T17:30:34,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,D9924"
"Genoa,Italy",2022-01-31,13.6,11,12,13.6,11,12,4.3,63.5,0,0,0,rain,0,0,64.8,38.7,92.4,1011.3,61.2,10,97.1,8.4,5,10,2022-01-31T07:43:58,2022-01-31T17:31:58,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16153099999,LIMJ,16120099999,16111099999,F9122,16119099999,D9924"
